File Design Information:,,,,,
,,,,,
Date:       17.08.23,,,,,
Time:       00:09,,,,,
Revision:   4f30bfd66be8dc8595cd326cee6aafeb6b83f085,,,,,
Variant:    Basic Assembly,,,,,
Units used: mm,,,,,
,,,,,
Designator,Layer,Center-X(mm),Center-Y(mm),Rotation,SMD
U1,TopLayer,8.9,41.6,90,Yes
U13,TopLayer,24.19,76.95,270,Yes
U8,TopLayer,78.45,50.4,0,Yes
U7,TopLayer,42.3,89.775,180,Yes
U5,TopLayer,45.5,70.925,270,Yes
U4,TopLayer,39.275,70.925,270,Yes
U3,TopLayer,42.25,81.975,0,Yes
T3,TopLayer,27.905,71.8997,180,Yes
T2,TopLayer,28.04,76.85,90,Yes
T1,TopLayer,28.04,81.7,90,Yes
R26,TopLayer,55.7153,88.1,90,Yes
R25,TopLayer,62.652,88.099,90,Yes
R24,TopLayer,60.325,88.125,90,Yes
R23,TopLayer,57.998,88.099,90,Yes
P3,TopLayer,96.3,45.134,90,Yes
P2,TopLayer,96.3,22.134,90,Yes
LD4,TopLayer,55.7113,84.525,90,Yes
LD3,TopLayer,62.65,84.55,90,Yes
LD2,TopLayer,60.325,84.55,90,Yes
LD1,TopLayer,58,84.55,90,Yes
J6,TopLayer,2.925,53.9312,270,Yes
J5,TopLayer,2.925,29.3198,270,Yes
J2,TopLayer,2.925,17.1154,270,Yes
J1,TopLayer,2.925,41.5748,270,Yes
F1,TopLayer,26.375,85.45,0,Yes
C29,TopLayer,84.95,50.4,90,Yes
C28,TopLayer,82.9,50.4,90,Yes
C27,TopLayer,74,50.4,270,Yes
C26,TopLayer,71.95,50.4,270,Yes
C24,TopLayer,47.75,88.375,270,Yes
C23,TopLayer,45.65,88.375,270,Yes
C22,TopLayer,38.625,88.375,270,Yes
C21,TopLayer,36.625,88.375,270,Yes
C20,TopLayer,47.95,81.925,270,Yes
C19,TopLayer,45.75,81.925,270,Yes
C18,TopLayer,38.7,81.925,270,Yes
C17,TopLayer,36.7,81.925,270,Yes
C16,TopLayer,50.6,70.575,90,Yes
C15,TopLayer,48.6,70.575,90,Yes
C13,TopLayer,45.5,74.75,90,Yes
C12,TopLayer,43.725,74.75,90,Yes
C11,TopLayer,39.275,67.475,0,Yes
C10,TopLayer,41.975,74.75,90,Yes
C9,TopLayer,40.25,74.75,90,Yes
C8,TopLayer,36.175,70.475,90,Yes
C7,TopLayer,34.175,70.475,90,Yes
R5_2,TopLayer,22.55,48.4,0,Yes
U12,TopLayer,28.55,16.875,0,Yes
U11_2,TopLayer,57.575,60.725,90,Yes
U11_1,TopLayer,77.725,60.7,90,Yes
U10_2,TopLayer,65.325,63.375,90,Yes
U10_1,TopLayer,85.475,63.35,90,Yes
U9,TopLayer,17.15,17.1,0,Yes
U6,TopLayer,75.9,42.475,0,Yes
U2_2,TopLayer,19.62,49.437,270,Yes
U2_1,TopLayer,19.645,33.8465,270,Yes
R51_2,TopLayer,44.7,53.625,180,Yes
R51_3,TopLayer,44.7,22.25,180,Yes
R51_1,TopLayer,44.7,37.875,180,Yes
R50_2,TopLayer,45.35,50.85,270,Yes
R50_3,TopLayer,45.35,19.475,270,Yes
R50_1,TopLayer,45.35,35.1,270,Yes
R49_2,TopLayer,47.7,50.2,0,Yes
R49_3,TopLayer,47.7,18.825,0,Yes
R49_1,TopLayer,47.7,34.45,0,Yes
R48_2,TopLayer,42.94,50.2,0,Yes
R48_3,TopLayer,42.94,18.825,0,Yes
R48_1,TopLayer,42.94,34.45,0,Yes
R46_2,TopLayer,44.7,45.525,0,Yes
R46_3,TopLayer,44.7,14.15,0,Yes
R46_1,TopLayer,44.7,29.775,0,Yes
R45_2,TopLayer,45.35,48.35,90,Yes
R45_3,TopLayer,45.35,16.975,90,Yes
R45_1,TopLayer,45.35,32.6,90,Yes
R44_2,TopLayer,47.7,49,0,Yes
R44_3,TopLayer,47.7,17.625,0,Yes
R44_1,TopLayer,47.7,33.25,0,Yes
R43_2,TopLayer,42.94,49,0,Yes
R43_3,TopLayer,42.94,17.625,0,Yes
R43_1,TopLayer,42.94,33.25,0,Yes
R40,TopLayer,36.25,18.8,0,Yes
R38,TopLayer,36.25,17.6,0,Yes
R35,TopLayer,20.4001,16.85,90,Yes
R34_2,TopLayer,17.4,51.075,270,Yes
R33_2,TopLayer,60.875,58.675,90,Yes
R33_1,TopLayer,81.025,58.65,90,Yes
R32_2,TopLayer,63.0417,58.675,90,Yes
R32_1,TopLayer,83.1917,58.65,90,Yes
R31_2,TopLayer,62.2,62.875,90,Yes
R31_1,TopLayer,82.35,62.85,90,Yes
R30_2,TopLayer,65.2083,58.675,90,Yes
R30_1,TopLayer,85.3583,58.65,90,Yes
R29_2,TopLayer,60.3,62.85,270,Yes
R29_1,TopLayer,80.45,62.825,270,Yes
R28_2,TopLayer,67.375,58.675,270,Yes
R28_1,TopLayer,87.525,58.65,270,Yes
R27,TopLayer,77.675,46.475,180,Yes
R22,TopLayer,11.95,16.5,90,Yes
R21,TopLayer,9.45,17.1,0,Yes
R18,TopLayer,87.425,38.475,180,Yes
R17,TopLayer,87.425,40.475,180,Yes
R16,TopLayer,71.6,40.375,270,Yes
R15,TopLayer,74.3,39.575,180,Yes
R14,TopLayer,87.425,46.425,180,Yes
R13,TopLayer,87.425,44.425,180,Yes
R12,TopLayer,87.425,42.475,180,Yes
R6_2,TopLayer,22.525,50.5,0,Yes
R6_1,TopLayer,22.55,34.9095,0,Yes
R5_1,TopLayer,22.575,32.8095,0,Yes
R2_1,TopLayer,17.425,32.1345,90,Yes
L8,TopLayer,23.1,22.125,90,Yes
L7_2,TopLayer,65.325,68.775,180,Yes
L7_1,TopLayer,85.475,68.75,180,Yes
L6_2,TopLayer,57.525,55.175,180,Yes
L6_1,TopLayer,77.675,55.15,180,Yes
L5,TopLayer,17.55,22.35,0,Yes
L4_2,TopLayer,57.525,66.175,180,Yes
L4_1,TopLayer,77.675,66.15,180,Yes
L3,TopLayer,83.775,44,270,Yes
L2_2,TopLayer,17.4,55.425,90,Yes
L2_1,TopLayer,17.425,39.8345,90,Yes
L1_2,TopLayer,22.95,43.525,270,Yes
L1_1,TopLayer,22.975,27.9345,270,Yes
C40,TopLayer,25.85,20.925,0,Yes
C38_2,TopLayer,65.325,66.725,0,Yes
C38_1,TopLayer,85.475,66.7,0,Yes
C37_2,TopLayer,54.775,60.65,270,Yes
C37_1,TopLayer,74.925,60.625,270,Yes
C36_2,TopLayer,57.525,57.325,0,Yes
C36_1,TopLayer,77.675,57.3,0,Yes
C35_2,TopLayer,57.525,64.075,0,Yes
C35_1,TopLayer,77.675,64.05,0,Yes
C34,TopLayer,17.55,20.3,180,Yes
C33,TopLayer,25.85,22.975,0,Yes
C32,TopLayer,77.5,45,0,Yes
C31,TopLayer,80.125,44,90,Yes
C30,TopLayer,81.925,44,90,Yes
C6_2,TopLayer,20.2,52.175,0,Yes
C6_1,TopLayer,20.225,36.5845,0,Yes
C5_2,TopLayer,20.2,54.2253,0,Yes
C5_1,TopLayer,20.225,38.6348,0,Yes
C4_2,TopLayer,20.2,56.2755,0,Yes
C4_1,TopLayer,20.225,40.685,0,Yes
C3_2,TopLayer,20.2,46.675,180,Yes
C3_1,TopLayer,20.225,31.0845,180,Yes
C2_2,TopLayer,20.2,44.6248,180,Yes
C2_1,TopLayer,20.225,29.0343,180,Yes
C1_2,TopLayer,20.2,42.5745,180,Yes
C1_1,TopLayer,20.225,26.984,180,Yes
